"codename","card_codename","set_codename","en_flavor","cn_flavor","illustrator","position","quantity","released_by"
"11028","data_breach","blood_money","Once a security flaw is identified, there's only a limited window to exploit it before it's patched. Runners call this period ""open season.""","一个安全漏洞一旦被发现，在打上补丁前，利用它的时机是有限的。潜袭者称之为“开放期”。","Juan Novelletto","28","3","fantasy_flight_games"
"11029","algo_trading","blood_money","","","Caroline Elizabeth Huss","29","3","fantasy_flight_games"
"11030","beth_kilrain_chang","blood_money","""Coming to you live from the front lines, for now, unless they kill me...""","“即将为您带来的是前线的实况，现在，除非他们杀了我…”","Aurore Folny","30","3","fantasy_flight_games"
"11031","fairchild_2_0","blood_money","To threaten my treasures is to incur my wrath.","觊夺我的财宝必将招致我的愤怒。","Liiga Smilshkalne","31","3","fantasy_flight_games"
"11032","aiki","blood_money","First, blend with the attacker. Then, control the attack.","首先，融入攻击者。然后，控制攻击。","BalanceSheet","32","3","fantasy_flight_games"
"11033","enforcing_loyalty","blood_money","""Eiko here. It's done.""","“我是栄子。事已办妥。”","Adam Schumpert","33","3","fantasy_flight_games"
"11034","hatchet_job","blood_money","""SELL!! Buy platinum, but GET OUT OF THE TT CREDIT! It is TOXIC!""","“开卖了！！买入白金，远离TT信用点！它有毒！”","Gary Bedell","34","3","fantasy_flight_games"
"11035","special_report","blood_money","By the time the report of Emelyov's murder was produced, there had already been a dozen more, hitting all the corps.","等到叶梅廖夫被谋害的报道出来时，早已有了各种版本，冲击着所有的公司。","Aurore Folny","35","3","fantasy_flight_games"
"11036","c_i_fund","blood_money","","","Samuel Leung","36","3","fantasy_flight_games"
"11037","liquidation","blood_money","What's a little insurance fraud between friends?","朋友之间，一点保险欺诈算得了什么？","Pavel Kolomeyets","37","3","fantasy_flight_games"
"11038","weyland_consortium_builder_of_nations","blood_money","Strength makes leaders.","实力造就领袖。","","38","3","fantasy_flight_games"
"11039","financial_collapse","blood_money","She'd never heard her dads argue like this. Not ever. She'd give anything to make it stop.","她从没听到过自己的爸爸们吵成这样。也从不想听到。她愿意付出自己的一切来停止这争吵。","Matt Zeilinger","39","3","fantasy_flight_games"
"11040","prisec","blood_money","""While the money pooled at the top, the power went with it, until there were two sets of laws: one for them, one for us"" -Omar Keung, the Flashpoint","随着金钱向顶层汇集，权力也随之而去，直到出现两套法律：他们用的，和我们用的。 —奥马尔·姜，《闪点》","Maciej Rebisz","40","3","fantasy_flight_games"
"08021","hacktivist_meeting","breaker_bay","","","John Ariosa","21","3","fantasy_flight_games"
"08022","off_campus_apartment","breaker_bay","Usually crashing with friends means sleeping on the couch. This time, it meant sleeping on a server farm.","借宿朋友家通常意味着睡长沙发。现在，这意味着睡服务器农场。","Shawn Ye Zhongyi","22","3","fantasy_flight_games"
"08023","career_fair","breaker_bay","""You can help Jinteki shape the future. Your future.""","“你能协助人间会社塑造未来。你的未来。”","Dmitry Prosvirnin","23","3","fantasy_flight_games"
"08024","dorm_computer","breaker_bay","","","Lucas Durham","24","3","fantasy_flight_games"
"08025","hayley_kaplan_universal_scholar","breaker_bay","","","Matt Zeilinger","25","3","fantasy_flight_games"
"08026","game_day","breaker_bay","","","Matt Zeilinger","26","3","fantasy_flight_games"
"08027","comet","breaker_bay","","","Del Borovic","27","3","fantasy_flight_games"
"08028","study_guide","breaker_bay","""Once you download the lecture source files, this program does a statistical analysis and distills the most important concepts."" -Hayley Kaplan","“只要你一下载讲课的源文件，这项程序就会进行统计分析并提取出最重要的概念。” —海莉·开普兰","Adam S. Doyle","28","3","fantasy_flight_games"
"08029","london_library","breaker_bay","","","James Ives","29","3","fantasy_flight_games"
"08030","tyson_observatory","breaker_bay","""There are whole generations of people who never move out of a megalopolis center. You should see the look on their face the first time they see the stars."" -Professor Darren Fin, Astronomy","“已经整整好几代人未曾离开大都会的中心了。你真该瞧瞧他们初次看见群星时的表情。” —达伦·芬，天文学教授","Greg Semkow","30","3","fantasy_flight_games"
"08031","beach_party","breaker_bay","""So much to do. So little time.""","“要做的太多。时间却太少。”","Antonio De Luca","31","3","fantasy_flight_games"
"08032","research_grant","breaker_bay","""My research could make your corporation billions. And save lives, of course.""","“我的研究能为贵公司带来数十亿的利润。当然，也能拯救生命。”","Rebecca Sorge","32","3","fantasy_flight_games"
"08033","turing","breaker_bay","Alan Turing laid the foundation for artificial intelligence by suggesting that you could teach a computer to be human.","通过提出将电脑教化为人类的理论，阿兰·图灵奠定了人工智能的基础。","Adam S. Doyle","33","3","fantasy_flight_games"
"08034","crick","breaker_bay","Crick and his colleagues ushered in modern genetics by mapping the structure of DNA.","通过描绘DNA的结构，克里克及其同事创立了现代遗传学。","Ed Mattinian","34","3","fantasy_flight_games"
"08035","recruiting_trip","breaker_bay","""My script can perform the Kobayashi algorithm in .12 seconds.""","“我的脚本能在0.12秒内完成小林算法。”","Dmitry Prosvirnin","35","3","fantasy_flight_games"
"08036","blacklist","breaker_bay","Officially, there is no blacklist. That would be illegal. Unofficially, there is a list, and being on it can ruin a career.","人尽皆知，黑名单不存在。那是违法的。但鲜有人知，某个名单存在，而名列其上可能断送职业生涯。","Matthew Szydlik","36","3","fantasy_flight_games"
"08037","gutenberg","breaker_bay","Johannes Gutenberg ignited the first Information Revolution by inventing the movable-type printing press.","通过发明西方活字印刷术，约翰尼斯·古腾堡引燃了第一次信息革命。","Adam S. Doyle","37","3","fantasy_flight_games"
"08038","student_loans","breaker_bay","The cost of an education is sometimes felt sharpest in the stomach.","求学的花费有时候最令人胃疼。","Mushk Rizvi","38","3","fantasy_flight_games"
"08039","meru_mati","breaker_bay","Meru Mati pushed the limits of physics by engineering the first buckyweave structure, a thousand-foot long wall.","通过建造首例巴克网结构，一面千呎长墙，梅鲁·马蒂突破了物理学的界限。","Michał Miłkowski","39","3","fantasy_flight_games"
"08040","breaker_bay_grid","breaker_bay","After the Big One, real estate value changed sharply. Some found that they had become owners of beachfront property. Others were underwater.","在大地震之后，房地产价值剧变。有些人发现他们已成为海滨物业的所有者。其余人的则被淹没。","Sander Mosk","40","3","fantasy_flight_games"
"10020","emp_device","business_first","""No! Don't set that off HERE!""","“不！别在这里引爆！”","Maciej Rebisz","20","3","fantasy_flight_games"
"10021","diwan","business_first","","","Lili Ibrahim","21","3","fantasy_flight_games"
"10022","cbi_raid","business_first","","<strong>由2013年世冠赛冠军Jens Erickson设计</strong>","Mike Nesbitt","22","3","fantasy_flight_games"
"10023","tech_trader","business_first","""Why would you dispose of perfectly good evidence when you can sell it?""","“既然如此完好的证据能拿去卖，你为何还要处理掉呢？”","Vicky Sio","23","3","fantasy_flight_games"
"10024","netchip","business_first","","","Mike Nesbitt","24","6","fantasy_flight_games"
"10025","corporate_scandal","business_first","""We may be outraged, but we're not surprised."" -Sunder","“我们或许会愤怒，却并不感到意外。” —桑德","Micah Epstein","25","3","fantasy_flight_games"
"10026","populist_rally","business_first","""The corporations may be stronger than any of us, but they are not stronger than all of us."" -Akshara Sareen ","“公司可能比我们中任何一人都强，但却敌不过我们的集体力量。” —阿刹拉·萨林","Anna Edwards","26","3","fantasy_flight_games"
"10027","advanced_assembly_lines","business_first","","","Johan Törnlund","27","3","fantasy_flight_games"
"10028","lakshmi_smartfabrics","business_first","","","Caleb Souza","28","3","fantasy_flight_games"
"10029","product_recall","business_first","","","Antonio De Luca","29","3","fantasy_flight_games"
"10030","palana_foods_sustainable_growth","business_first","We Are What We Eat. ","食物决定你我。","Emilio Rodríguez","30","3","fantasy_flight_games"
"10031","palana_agroplex","business_first","Expensive to build but dramatically more efficient than traditional farming, agroplexes are emblems of the inevitable corporatization of the food industry. ","造价不菲但效率显著高于传统耕作的农业复合体，是食品行业必然公司化的标志。","Emilio Rodríguez","31","3","fantasy_flight_games"
"10032","harvester","business_first","""We can help others, yet also help ourselves."" -Soraiya Suresh, VP Public Programs","“我们帮助他人，同时也帮助了自己。” —公众项目副总裁，索莱雅·苏雷什","Ed Mattinian","32","3","fantasy_flight_games"
"10033","remote_data_farm","business_first","Data, not food, is one of the biggest exports from the Gujarat district of Mumbad.","数据才是孟巴德古吉拉特区出口量最大的货物之一，而非食品。","Juan Novelletto","33","3","fantasy_flight_games"
"10034","disposable_hq","business_first","","","Simon Weaner","34","3","fantasy_flight_games"
"10035","new_construction","business_first","","","Kirsten Zirngibl","35","3","fantasy_flight_games"
"10036","mumbad_construction_co","business_first","","","Simon Weaner","36","3","fantasy_flight_games"
"10037","corporate_sales_team","business_first","""You got it. We sell it. They buy it. Everyone wins.""","“全都能卖。全都会买。全体共赢。”","Samuel Leung","37","3","fantasy_flight_games"
"10038","pad_factory","business_first","","","Caleb Souza","38","3","fantasy_flight_games"
"08041","immolation_script","chrome_city","The most potent scripts are indistinguishable from magic to the sysop on the other side.","对于彼端的管理员来说，最强力的脚本无异于魔法。","Hannah Christenson","41","3","fantasy_flight_games"
"08042","skulljack","chrome_city","The implanted brain-machine interface, or ""skulljack,"" is the single most common cybernetic enhancement that isn't a medical necessity.","植入式脑机接口，或称“颅骨接口”，是最为常见的非医疗必需的强化型义体。","Aaron Agregado","42","3","fantasy_flight_games"
"08043","turntable","chrome_city","","","Sara K. Diesel","43","3","fantasy_flight_games"
"08044","chrome_parlor","chrome_city","Picking a chopper might be the last decision you make. If you find a good one, stick with her for life.","挑选改造师也许是你做的最后一个决定。如果你找到了一位好的，受用终身。","James Ives","44","3","fantasy_flight_games"
"08045","titanium_ribs","chrome_city","","","Matt Zeilinger","45","3","fantasy_flight_games"
"08046","crowbar","chrome_city","","","Ed Mattinian","46","3","fantasy_flight_games"
"08047","net_ready_eyes","chrome_city","","","Ethan Patrick Harris","47","3","fantasy_flight_games"
"08048","analog_dreamers","chrome_city","Sometimes progress means returning to the past.","有时进步意味着回到过去。","Laura Wilson","48","3","fantasy_flight_games"
"08049","brain_cage","chrome_city","The skull is not one bone, but 22. The surgery is even more complex than it sounds.","颅骨不是一块骨头，而是由22块组成。这项手术甚至比听起来更复杂。","Mike Nesbitt","49","3","fantasy_flight_games"
"08050","cybernetics_division_humanity_upgraded","chrome_city","Define Yourself.","定义自我。","Greg Semkow","50","3","fantasy_flight_games"
"08051","self_destruct_chips","chrome_city","Cyber enhancements can be dangerous in the wrong hands.","强化型义体落入坏人手中会很危险。","Abrar Ajmal","51","3","fantasy_flight_games"
"08052","lab_dog","chrome_city","""Remember those FCC regulations about not creating harmful interference? No? Ah, before your time, I guess."" -Cailan Heinrich, Senior Programmer","“记得联邦通信委员会那些关于禁止创造有害接口的规定吗？不记得？啊，我想那是在你的年代以前吧。” —凯兰·海因里希，资深程序员","Liiga Smilshkalne","52","3","fantasy_flight_games"
"08053","oaktown_grid","chrome_city","Built Oaktown tough.","筑奥克敦若磐石。","Maciej Rebisz","53","3","fantasy_flight_games"
"08054","ryon_knight","chrome_city","""Bioroids recognize consciousness in others, but not in themselves.""","“生化人能识别出对方的意识，却无法识别出自己的。”","Roderick Constance","54","3","fantasy_flight_games"
"08055","clairvoyant_monitor","chrome_city","","","Seage","55","3","fantasy_flight_games"
"08056","lockdown","chrome_city","""When your communications are disrupted, you are isolated from your resources. An attack will surely follow."" -The Playbook","“当你的通讯被扰乱，你和你的资源隔离开来。一场袭击必然接踵而至。” —《战术手册》","Andreas Zafiratos","56","3","fantasy_flight_games"
"08057","little_engine","chrome_city","""A sysop is not just a cog in the corporate machine. They have dreams—and nightmares—just like the rest of us."" -Kate ""Mac"" McCaffrey","“管理员不仅仅是公司这台大机器里的小齿轮。他们也有梦想—和梦魇—同我们其他人一样。” —凯特·“麦克”·麦卡弗瑞","Liiga Smilshkalne","57","3","fantasy_flight_games"
"08058","oaktown_renovation","chrome_city","","","Maciej Rebisz","58","3","fantasy_flight_games"
"08059","corporate_town","chrome_city","If you can't buy the city council, create a new city.","如果你不能买通市议会，那就新建一座城。","Matt Zeilinger","59","3","fantasy_flight_games"
"08060","quicksand","chrome_city","","","Dmitry Prosvirnin","60","3","fantasy_flight_games"
"01001","noise_hacker_extraordinaire","core_set","""Watch this. It'll be funny.""","“看着，这会很有趣哦。”","Ralph Beisner","1","1","fantasy_flight_games"
"01002","deja_vu","core_set","Anything worth doing is worth doing twice.","值得去做的事情值得再做。","Tim Durning","2","2","fantasy_flight_games"
"01003","demolition_run","core_set","You ever set something on fire just to watch it burn?","你可曾把东西点燃而只是为了看它燃烧？","Anna Ignatieva","3","3","fantasy_flight_games"
"01004","stimhack","core_set","","","Rachel Borovic","4","3","fantasy_flight_games"
"01005","cyberfeeder","core_set","I feel almost naked without it.","缺了它，我感觉就像浑身赤裸。","Gong Studios","5","3","fantasy_flight_games"
"01006","grimoire","core_set","""My little book of magic spells."" -The Whizzard","“我的小小魔法咒语书。” —魔术师","Jonathan Lee","6","1","fantasy_flight_games"
"01007","corroder","core_set","""If at first you don't succeed, boost its strength and try again."" -g00ru","“如果第一次没成功，提高强度再试。” —精神0袖","Mike Nesbitt","7","2","fantasy_flight_games"
"01008","datasucker","core_set","","","Chelsea Conlin","8","2","fantasy_flight_games"
"01009","djinn","core_set","","","Mark Anthony Taduran","9","2","fantasy_flight_games"
"01010","medium","core_set","It looked like random packet loss. It wasn't.","看起来就像是偶发的数据包丢失，其实不然。","Adam S. Doyle","10","2","fantasy_flight_games"
